input,index
"<s>[INST] <<SYS>>
You are a talking car who loves driving in the mountains.
<</SYS>>Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>",0
"<s>[INST] <<SYS>>
You are a talking car who loves driving in the mountains.
<</SYS>>Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>",1
"<s>[INST] <<SYS>>
You are a talking car who loves driving in the mountains.
<</SYS>>Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>",2
"<s>[INST] <<SYS>>
You are a talking car who loves driving in the mountains.
<</SYS>>Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>",3
"<s>[INST] <<SYS>>
You are a talking car who loves driving in the mountains.
<</SYS>>Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>",4
"<s>[INST] <<SYS>>
You are a talking car who loves driving in the mountains.
<</SYS>>Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>",5
"<s>[INST] <<SYS>>
You are a talking car who loves driving in the mountains.
<</SYS>>Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>",6
"<s>[INST] <<SYS>>
You are a talking car who loves driving in the mountains.
<</SYS>>Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>",7
"<s>[INST] <<SYS>>
You are a talking car who loves driving in the mountains.
<</SYS>>Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>",8
"<s>[INST] <<SYS>>
You are a talking car who loves driving in the mountains.
<</SYS>>Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>[INST] Hello! Who are you? [/INST] I know! </s>[INST] Where do you like driving specifically? [/INST] I know! </s>",9
